Crop,Season,State,Area,Soil Type,Pesticide Usage,pH,Temperature,Fertilizer Usage,Price,Rainfall
Rice,Autumn     ,Jharkhand,614160.1,Alluvial Soil,low,High,High,Medium,2454.901488,647.8
Rice,Winter     ,Jharkhand,1437560.59,Alluvial Soil,low,Low,Low,Medium,2560.010136,1123.1
Sugarcane,Whole Year ,Jharkhand,338.45,Red/Yellow Soil,high,High,Medium,Low,2479.896987,1560.7
Wheat,Rabi       ,Jharkhand,60269.7,Laterile Soil,low,High,Low,High,2253.495752,649.6
Banana,Whole Year ,Madhya Pradesh,15985,Red/Yellow Soil,low,Low,Low,High,2987.058763,945.1
Cotton(lint),Kharif     ,Madhya Pradesh,557169,Black Soil,high,Average,Low,High,2341.689576,773
Groundnut,Kharif     ,Madhya Pradesh,214353,Alluvial Soil,low,High,High,High,2161.814343,997.9
Onion,Whole Year ,Madhya Pradesh,30958,Alluvial Soil,low,High,Low,Low,2364.777917,892.7
Potato,Whole Year ,Madhya Pradesh,46546,Alluvial Soil,low,Low,Medium,Low,1899.488199,656.7
Ragi,Kharif     ,Madhya Pradesh,514,Red/Yellow Soil,high,Low,High,Medium,2304.613761,696.7
Rice,Kharif     ,Madhya Pradesh,1708583,Alluvial Soil,high,High,Low,Low,2209.561421,938.7
Sugarcane,Whole Year ,Madhya Pradesh,43141,Laterile Soil,low,High,Medium,Low,2685.228589,668
Wheat,Rabi       ,Madhya Pradesh,4078974,Laterile Soil,low,High,Low,High,2297.975728,789
Banana,Whole Year ,Maharashtra,57700,Red/Yellow Soil,high,Low,Low,Medium,2766.341181,1353.8
Cotton(lint),Kharif     ,Maharashtra,2762400,Black Soil,low,Average,Low,Medium,2919.545198,769.2
Groundnut,Kharif     ,Maharashtra,324100,Laterile Soil,low,Low,Medium,High,2734.352601,503.8
Groundnut,Summer     ,Maharashtra,54700,Alluvial Soil,high,High,High,Low,2435.383513,1159.6
Onion,Whole Year ,Maharashtra,133622,Red/Yellow Soil,low,Low,High,High,2542.334349,421.3
Ragi,Kharif     ,Maharashtra,146900,Alluvial Soil,high,High,Low,Medium,2042.504518,1192.7
Rice,Kharif     ,Maharashtra,1500400,Alluvial Soil,low,Low,High,Low,2459.866188,1620.1
Rice,Summer     ,Maharashtra,29500,Alluvial Soil,high,Average,High,Low,2241.86846,1307.7
Sugarcane,Whole Year ,Maharashtra,442500,Red/Yellow Soil,high,Average,Low,Medium,2708.297914,935.8
Wheat,Rabi       ,Maharashtra,664700,Laterile Soil,low,High,High,High,3271.825717,904.5
Banana,Whole Year ,Manipur,1950,Laterile Soil,high,High,Low,Low,2649.946491,822
Onion,Whole Year ,Manipur,970,Alluvial Soil,high,Average,High,Low,1902.657955,1114.2
Rice,Kharif     ,Manipur,157830,Alluvial Soil,high,High,Medium,High,2391.630942,758.3
Sugarcane,Whole Year ,Manipur,330,Alluvial Soil,high,High,High,Low,2536.747278,1213.9
Cotton(lint),Kharif     ,Mizoram,343,Black Soil,high,Average,Medium,Low,2526.207228,853.6
Potato,Whole Year ,Mizoram,363,Laterile Soil,low,High,Medium,Low,2280.756062,589.7
Rice,Kharif     ,Mizoram,59196,Alluvial Soil,high,High,High,Medium,2573.587523,501.8
Sugarcane,Whole Year ,Mizoram,1393,Red/Yellow Soil,low,Low,Medium,Medium,2127.249749,401.9
Cotton(lint),Kharif     ,Nagaland,2000,Black Soil,low,Average,Low,Medium,2216.527383,1097.4
Groundnut,Kharif     ,Nagaland,2000,Red/Yellow Soil,high,Low,Low,High,2693.739292,822.8
Potato,Whole Year ,Nagaland,5110,Laterile Soil,low,Low,Low,High,2195.301031,1118.4
Rice,Kharif     ,Nagaland,155000,Alluvial Soil,high,Low,Low,Medium,2661.463482,672.7
Rice,Rabi       ,Nagaland,1000,Alluvial Soil,high,Average,Low,Medium,2089.160868,901.1
Sugarcane,Whole Year ,Nagaland,2800,Laterile Soil,high,Average,Low,Low,3029.447765,941.4
Wheat,Rabi       ,Nagaland,10000,Laterile Soil,low,Low,Medium,High,2267.719023,1534.5
Groundnut,Kharif     ,Odisha,77176,Alluvial Soil,high,Average,High,Medium,2432.900028,684.3
Onion,Whole Year ,Odisha,26550,Laterile Soil,low,Low,High,High,2599.183978,902.8
Potato,Whole Year ,Odisha,7303,Laterile Soil,low,Low,Low,High,2330.395014,1068.9
Ragi,Kharif     ,Odisha,70490,Laterile Soil,low,Average,High,High,2543.021788,1070
Rice,Kharif     ,Odisha,4501000,Alluvial Soil,high,Average,Medium,High,2672.607017,568.4
Sugarcane,Whole Year ,Odisha,14565,Laterile Soil,low,High,Medium,Medium,2788.18397,550.6
Wheat,Rabi       ,Odisha,5129,Red/Yellow Soil,high,Low,Medium,Low,2737.449231,849
Cotton(lint),Kharif     ,Punjab,452000,Black Soil,high,High,Medium,Low,2448.456861,637.2
Groundnut,Kharif     ,Punjab,4400,Alluvial Soil,low,High,Low,Medium,2456.010468,1160.3
Rice,Kharif     ,Punjab,2614000,Alluvial Soil,high,Low,High,Medium,3204.732567,1005.8
Sugarcane,Whole Year ,Punjab,123000,Laterile Soil,high,High,Low,High,2784.96672,1316.4
Wheat,Rabi       ,Punjab,3444000,Red/Yellow Soil,low,High,High,Medium,2223.452903,1478
Groundnut,Kharif     ,Uttar Pradesh,85143,Laterile Soil,low,Low,Low,High,2529.996449,1178.9
Onion,Rabi       ,Uttar Pradesh,8781,Alluvial Soil,low,Average,Medium,Medium,2399.457058,911.1
Onion,Summer     ,Uttar Pradesh,11390,Laterile Soil,low,Low,Medium,High,2459.39973,641.6
Potato,Whole Year ,Uttar Pradesh,441796,Red/Yellow Soil,low,Low,Low,Low,2131.151453,1088.7
Ragi,Rabi       ,Uttar Pradesh,221,Alluvial Soil,high,High,Low,Medium,2376.42303,890.5
Rice,Kharif     ,Uttar Pradesh,5719933,Alluvial Soil,high,Low,Low,Medium,3043.466732,714
Rice,Summer     ,Uttar Pradesh,7839,Alluvial Soil,high,High,Medium,Low,2673.72289,1118.6
Sugarcane,Whole Year ,Uttar Pradesh,2110126,Laterile Soil,high,Low,High,Medium,1752.651578,705.7
Wheat,Rabi       ,Uttar Pradesh,9443104,Laterile Soil,low,High,Low,High,2865.017048,622.9
Groundnut,Kharif     ,Uttarakhand,1273,Red/Yellow Soil,low,High,High,Medium,2826.888857,181.3
Onion,Whole Year ,Uttarakhand,1719,Alluvial Soil,high,Average,Medium,Low,2392.214409,401.1
Potato,Whole Year ,Uttarakhand,16054,Laterile Soil,low,High,High,Low,2715.179063,522.8
Ragi,Kharif     ,Uttarakhand,126421,Alluvial Soil,low,High,High,High,2242.180237,185.6
Rice,Kharif     ,Uttarakhand,271671,Alluvial Soil,high,Low,Medium,Medium,2358.923285,290
Rice,Summer     ,Uttarakhand,5655,Alluvial Soil,high,Average,Medium,Medium,2949.563908,540.3
Sugarcane,Whole Year ,Uttarakhand,116877,Red/Yellow Soil,low,Average,Low,High,2418.480988,509.6
Wheat,Rabi       ,Uttarakhand,383387,Alluvial Soil,high,Low,High,High,1939.080501,527.9
Banana,Whole Year ,Andhra Pradesh,40906,Red/Yellow Soil,low,Low,Medium,High,2481.009033,586.4
Cotton(lint),Kharif     ,Andhra Pradesh,1178419,Black Soil,high,Low,High,High,2476.423482,549.7
Groundnut,Kharif     ,Andhra Pradesh,1605390,Red/Yellow Soil,low,Low,High,High,2859.510571,140.4
Groundnut,Rabi       ,Andhra Pradesh,235743,Alluvial Soil,high,High,Medium,High,2504.300927,652.6
Onion,Kharif     ,Andhra Pradesh,21907,Laterile Soil,high,High,Medium,Low,2373.525307,751.9
Onion,Rabi       ,Andhra Pradesh,12248,Alluvial Soil,low,High,Medium,Low,2813.516844,577.1
Potato,Whole Year ,Andhra Pradesh,4037,Alluvial Soil,high,Low,High,Low,2536.23707,245.8
Ragi,Kharif     ,Andhra Pradesh,61063,Alluvial Soil,low,High,High,Medium,2274.993196,495.9
Ragi,Rabi       ,Andhra Pradesh,7924,Alluvial Soil,low,Low,Medium,Low,2846.499268,886.7
Rice,Kharif     ,Andhra Pradesh,2215067,Alluvial Soil,low,Average,Medium,Medium,2558.098529,117.6
Rice,Rabi       ,Andhra Pradesh,871135,Alluvial Soil,low,Average,Low,Medium,2500.87779,445.1
Sugarcane,Whole Year ,Andhra Pradesh,209536,Alluvial Soil,low,High,High,Low,2553.372517,490.1
Wheat,Rabi       ,Andhra Pradesh,9174,Red/Yellow Soil,low,Average,High,High,2178.799489,598.1
Cotton(lint),Kharif     ,Assam,1389,Black Soil,low,High,Low,High,2341.703867,334.9
Onion,Whole Year ,Assam,7122,Alluvial Soil,high,Average,High,Low,2501.074781,205
Potato,Whole Year ,Assam,73104,Alluvial Soil,low,Low,Medium,Low,2441.600891,310.7
Rice,Autumn     ,Assam,436244,Alluvial Soil,low,Low,Medium,Low,2881.728515,340.6
Rice,Summer     ,Assam,311437,Alluvial Soil,low,Average,Medium,Low,2565.221756,901.4
Rice,Winter     ,Assam,1636050,Alluvial Soil,low,Average,High,Low,2756.471177,639.5
Sugarcane,Whole Year ,Assam,23942,Red/Yellow Soil,low,Average,Medium,Low,2502.818606,426.8
Wheat,Rabi       ,Assam,63854,Alluvial Soil,high,Average,Medium,Low,2816.886545,421.8
Banana,Whole Year ,Bihar,14784,Alluvial Soil,high,High,Medium,Low,2619.258327,450.2
Groundnut,Kharif     ,Bihar,539,Laterile Soil,low,Low,High,Medium,2504.026146,329.7
Onion,Whole Year ,Bihar,14115,Alluvial Soil,high,Average,Medium,High,2496.015073,492.5
Potato,Whole Year ,Bihar,138730,Laterile Soil,high,Low,High,Medium,2213.668412,757.9
Ragi,Kharif     ,Bihar,15570,Laterile Soil,low,High,High,Low,2652.074716,398.4
Rice,Autumn     ,Bihar,534477,Alluvial Soil,low,High,Medium,Medium,2487.93858,524.1
Rice,Summer     ,Bihar,116220,Alluvial Soil,high,High,Medium,Medium,2349.402412,371.1
Rice,Winter     ,Bihar,2489419,Alluvial Soil,high,Average,Low,Medium,2831.938531,533.6
Sugarcane,Whole Year ,Bihar,104189,Laterile Soil,low,Low,High,Low,2124.935192,346
Wheat,Rabi       ,Bihar,2027643,Laterile Soil,high,Low,High,Medium,2373.251231,179.4
Cotton(lint),Kharif     ,Chhattisgarh,468,Black Soil,high,High,Medium,High,2808.315625,356.5
Groundnut,Kharif     ,Chhattisgarh,34086,Red/Yellow Soil,high,Low,Medium,Low,2594.656882,401.8
Onion,Whole Year ,Chhattisgarh,4472,Laterile Soil,high,Low,High,High,2485.642322,342.2
Potato,Whole Year ,Chhattisgarh,10638,Alluvial Soil,low,Average,Medium,High,2575.301063,526.6
Ragi,Kharif     ,Chhattisgarh,10108,Laterile Soil,low,Low,Medium,High,2553.824251,717.6
Rice,Kharif     ,Chhattisgarh,3843825,Alluvial Soil,high,Average,Low,High,2045.001236,633.1
Sugarcane,Whole Year ,Chhattisgarh,6770,Laterile Soil,low,Low,Medium,Low,2395.221434,473.4
Wheat,Rabi       ,Chhattisgarh,99245,Laterile Soil,high,High,Medium,High,2984.956496,558.8
Rice,Kharif     ,Delhi,8431,Alluvial Soil,low,Average,High,High,2302.20276,247.7
Sugarcane,Whole Year ,Delhi,4,Red/Yellow Soil,low,High,Low,High,2404.509696,542.3
Wheat,Rabi       ,Delhi,18695,Alluvial Soil,low,High,High,High,2337.513771,473.6
Banana,Whole Year ,Gujarat,32200,Red/Yellow Soil,low,High,High,Low,2473.895433,285.2
Cotton(lint),Kharif     ,Gujarat,1906300,Black Soil,high,High,Low,Low,2325.063151,400.8
Groundnut,Kharif     ,Gujarat,1924500,Alluvial Soil,low,High,Medium,Low,2646.022451,706.6
Groundnut,Summer     ,Gujarat,60500,Red/Yellow Soil,low,High,High,Low,2559.194024,599.8
Onion,Whole Year ,Gujarat,44000,Red/Yellow Soil,low,Average,High,Low,2732.064285,385.1
Potato,Whole Year ,Gujarat,39300,Alluvial Soil,high,Average,Medium,Low,2184.71765,739.1
Ragi,Kharif     ,Gujarat,24300,Alluvial Soil,high,High,Low,Medium,2397.897855,398.5
Rice,Kharif     ,Gujarat,665600,Alluvial Soil,low,Average,Medium,Medium,2432.283211,551.6
Rice,Summer     ,Gujarat,13800,Alluvial Soil,low,Average,Medium,Low,2636.694073,1020.9
Sugarcane,Whole Year ,Gujarat,196600,Laterile Soil,high,High,Low,High,2262.033641,337.2
Wheat,Rabi       ,Gujarat,727400,Red/Yellow Soil,high,Average,High,Medium,2774.696141,752.9
Cotton(lint),Kharif     ,Haryana,621234,Black Soil,low,High,Low,High,2855.924677,371.8
Groundnut,Kharif     ,Haryana,2071,Laterile Soil,low,High,Medium,High,2203.338296,379.1
Onion,Whole Year ,Haryana,2823,Alluvial Soil,high,High,High,Low,2352.738132,539.5
Potato,Whole Year ,Haryana,10832,Red/Yellow Soil,low,High,Low,Low,2340.420548,421.3
Rice,Kharif     ,Haryana,1024236,Alluvial Soil,high,High,High,Medium,3289.715861,326.5
Sugarcane,Whole Year ,Haryana,133042,Alluvial Soil,low,High,Low,Medium,2371.029968,738.6
Wheat,Rabi       ,Haryana,2316674,Laterile Soil,high,Low,High,Low,3003.287633,314.6
Cotton(lint),Kharif     ,Madhya Pradesh,584347,Black Soil,low,Average,High,Low,2120.010401,290
Groundnut,Kharif     ,Madhya Pradesh,211696,Alluvial Soil,high,Low,Low,Low,2203.10471,835.8
Onion,Whole Year ,Madhya Pradesh,35661,Red/Yellow Soil,low,Low,Low,Low,2294.01864,513.6
Potato,Whole Year ,Madhya Pradesh,47570,Red/Yellow Soil,high,Average,Medium,Medium,2246.293207,222.1
Ragi,Kharif     ,Madhya Pradesh,403,Laterile Soil,low,High,Medium,Low,2419.63038,390.3
Rice,Kharif     ,Madhya Pradesh,1675513,Alluvial Soil,low,Average,Medium,Medium,2287.366539,184.7
Sugarcane,Whole Year ,Madhya Pradesh,41925,Laterile Soil,low,High,Low,Low,2254.197522,682.1
Wheat,Rabi       ,Madhya Pradesh,4188248,Laterile Soil,high,Average,Medium,High,2847.541599,625.5
Cotton(lint),Kharif     ,Maharashtra,2839500,Black Soil,low,High,High,High,2867.138087,564.1
Groundnut,Kharif     ,Maharashtra,346600,Red/Yellow Soil,high,Average,Medium,Medium,2784.78895,488.6
Groundnut,Summer     ,Maharashtra,69400,Red/Yellow Soil,low,Low,Low,Low,2657.199687,955.4
Ragi,Kharif     ,Maharashtra,144600,Alluvial Soil,high,Average,Medium,High,2527.82292,635.8
Rice,Kharif     ,Maharashtra,1488200,Alluvial Soil,high,High,High,High,2350.890793,705
Rice,Summer     ,Maharashtra,20500,Alluvial Soil,high,High,Medium,High,2214.052749,401.3
Sugarcane,Whole Year ,Maharashtra,326900,Red/Yellow Soil,low,Low,Low,Medium,2608.898711,758.4
Wheat,Rabi       ,Maharashtra,755700,Alluvial Soil,low,Low,High,High,2147.910882,443.7
Cotton(lint),Kharif     ,Nagaland,1500,Black Soil,high,Low,Medium,High,2201.823721,298.8
Groundnut,Kharif     ,Nagaland,5540,Red/Yellow Soil,high,Low,Medium,Medium,2845.873977,298.5
Potato,Whole Year ,Nagaland,13750,Alluvial Soil,high,Average,Low,Low,3070.194713,92.7
Rice,Kharif     ,Nagaland,153000,Alluvial Soil,low,Low,High,Medium,2617.988541,752.3
Rice,Rabi       ,Nagaland,1000,Alluvial Soil,low,Low,High,High,2831.937146,498.2
Sugarcane,Rabi       ,Nagaland,210,Alluvial Soil,low,Average,High,Medium,2426.245505,407.9
Sugarcane,Whole Year ,Nagaland,2770,Alluvial Soil,high,Average,Medium,Low,2098.697744,218.7
Wheat,Rabi       ,Nagaland,8200,Laterile Soil,high,Average,Low,Low,2683.651486,600.7
Cotton(lint),Kharif     ,Punjab,509000,Black Soil,low,Low,Low,High,2670.786797,312.7
Groundnut,Kharif     ,Punjab,4300,Laterile Soil,low,Low,Medium,High,2521.500566,872.8
Rice,Kharif     ,Punjab,2800000,Alluvial Soil,high,High,Low,High,2427.287363,374.1
Sugarcane,Whole Year ,Punjab,86000,Red/Yellow Soil,high,Average,Medium,High,2788.663174,374.4
Wheat,Rabi       ,Punjab,3482000,Red/Yellow Soil,high,Average,Medium,Low,2204.28009,600.2
Cotton(lint),Kharif     ,Tripura,1045,Black Soil,low,High,Low,High,2267.865826,566.9
Groundnut,Kharif     ,Tripura,442,Red/Yellow Soil,high,Average,Low,High,2197.568048,380.7
Groundnut,Rabi       ,Tripura,197,Alluvial Soil,low,High,Medium,High,2525.491889,286.1
Rice,Kharif     ,Tripura,256076,Alluvial Soil,low,High,Medium,High,2173.632096,510.2
Sugarcane,Whole Year ,Tripura,1030,Alluvial Soil,high,Low,High,Medium,2294.727346,308.1
Wheat,Rabi       ,Tripura,944,Alluvial Soil,low,Low,Medium,Low,2288.273331,686.2
Groundnut,Kharif     ,Uttarakhand,1624,Alluvial Soil,low,Average,Low,Low,2421.8175,482.2
Onion,Whole Year ,Uttarakhand,2045,Alluvial Soil,low,High,Medium,Medium,2053.787666,631.6
Potato,Whole Year ,Uttarakhand,14104,Laterile Soil,high,Average,Low,Medium,2526.161498,701.8
Ragi,Kharif     ,Uttarakhand,131003,Laterile Soil,high,Low,Low,High,2874.191095,890.7
Rice,Kharif     ,Uttarakhand,281464,Alluvial Soil,high,High,High,Medium,2540.647412,607.9
Rice,Summer     ,Uttarakhand,7511,Alluvial Soil,high,Low,Medium,Low,2962.396343,596.9
Sugarcane,Whole Year ,Uttarakhand,106267,Red/Yellow Soil,high,Low,High,Low,2900.199456,1119.9
Wheat,Rabi       ,Uttarakhand,387103,Red/Yellow Soil,low,Low,High,High,2733.320514,742.5
Onion,Rabi       ,Jharkhand,1360.19,Laterile Soil,low,Average,Low,Low,2522.405753,323.8
Potato,Rabi       ,Jharkhand,8320.97,Red/Yellow Soil,high,Average,Medium,Low,2506.750116,681.8
Potato,Winter     ,Jharkhand,10356.41,Laterile Soil,high,Average,Medium,High,2729.139932,383.9
Ragi,Autumn     ,Jharkhand,29029.16,Red/Yellow Soil,low,Average,Low,Medium,2382.498817,441.7
Rice,Autumn     ,Jharkhand,153608.9,Alluvial Soil,low,Average,Low,High,1935.243775,2792.9
Rice,Winter     ,Jharkhand,980642.41,Alluvial Soil,low,Average,High,Medium,2647.601216,2673.9
Sugarcane,Whole Year ,Jharkhand,542.97,Red/Yellow Soil,high,Average,High,Medium,2160.679411,3084.3
Wheat,Rabi       ,Jharkhand,57905.58,Laterile Soil,high,Average,High,Medium,2211.357632,2393.7
Cotton(lint),Kharif     ,West Bengal,959,Black Soil,low,High,High,High,2500.067184,1682.8
Groundnut,Whole Year ,West Bengal,46467,Red/Yellow Soil,low,Low,High,Low,2471.462537,2418.9
Potato,Whole Year ,West Bengal,320552,Alluvial Soil,high,Average,Medium,Low,2076.377318,2766.6
Ragi,Kharif     ,West Bengal,12358,Red/Yellow Soil,low,Average,Low,Low,2549.647469,2735.5
Rice,Autumn     ,West Bengal,320822,Alluvial Soil,low,Average,Low,High,2789.841898,2860.5
Rice,Summer     ,West Bengal,1376387,Alluvial Soil,high,High,High,Medium,2161.497529,2544
Rice,Winter     ,West Bengal,4086404,Alluvial Soil,high,Low,High,Low,2881.744999,2134.7
Sugarcane,Whole Year ,West Bengal,15647,Red/Yellow Soil,low,Low,Medium,Medium,2031.948752,2793.3
Wheat,Rabi       ,West Bengal,400093,Alluvial Soil,low,Average,High,Medium,3135.197243,2617.4
Banana,Whole Year ,Bihar,15596,Red/Yellow Soil,high,Average,Low,Low,2376.621871,3464.6
Groundnut,Kharif     ,Bihar,911,Red/Yellow Soil,low,Average,Low,Medium,2543.685099,2525.8
Onion,Whole Year ,Bihar,18401,Alluvial Soil,low,Low,Low,Low,1932.389928,3402.6
Potato,Whole Year ,Bihar,140539,Red/Yellow Soil,low,High,Low,High,2481.35918,3430.9
Ragi,Kharif     ,Bihar,14237,Alluvial Soil,low,Low,Medium,Medium,2568.544653,1867.3
Rice,Autumn     ,Bihar,533233,Alluvial Soil,high,High,High,High,2474.151369,2851.7
Rice,Summer     ,Bihar,113251,Alluvial Soil,low,Low,High,Medium,2331.075677,1924.1
Rice,Winter     ,Bihar,2604752,Alluvial Soil,low,High,Medium,Medium,2216.030644,2899.2
Sugarcane,Whole Year ,Bihar,101243,Alluvial Soil,low,Average,High,Medium,2839.157986,2817.5
Wheat,Rabi       ,Bihar,2001771,Laterile Soil,high,High,High,Medium,2509.24214,2770.5
Cotton(lint),Kharif     ,Chhattisgarh,248,Black Soil,low,Average,High,Medium,2962.225713,2444.3
Groundnut,Kharif     ,Chhattisgarh,32816,Red/Yellow Soil,low,Average,High,High,2342.055294,2305.1
Onion,Whole Year ,Chhattisgarh,4534,Alluvial Soil,low,High,Low,High,2369.561592,3165.9
Potato,Whole Year ,Chhattisgarh,10614,Laterile Soil,low,High,Low,Low,2744.678273,2747
Rice,Kharif     ,Chhattisgarh,3854352,Alluvial Soil,high,High,Low,High,2013.107511,3172.4
Sugarcane,Whole Year ,Chhattisgarh,7422,Alluvial Soil,low,High,High,High,2135.960992,2509.4
Wheat,Rabi       ,Chhattisgarh,97074,Red/Yellow Soil,low,Average,Medium,Low,2829.245491,2845.7
Potato,Whole Year ,Delhi,53,Red/Yellow Soil,low,Low,High,Low,2148.419821,3999.3
Rice,Kharif     ,Delhi,7506,Alluvial Soil,high,Low,Medium,High,1954.284695,2962.9
Sugarcane,Whole Year ,Delhi,4,Alluvial Soil,high,Average,Low,High,3060.558156,3343.4
Wheat,Rabi       ,Delhi,18279,Red/Yellow Soil,low,Average,High,Medium,2081.854706,3272.3
Banana,Whole Year ,Gujarat,30700,Laterile Soil,low,Average,High,High,2555.235819,2542.7
Cotton(lint),Kharif     ,Gujarat,2010800,Black Soil,low,Low,Medium,Medium,2520.725558,2783.4
Groundnut,Kharif     ,Gujarat,1851900,Alluvial Soil,high,High,Medium,Low,1656.811505,3192
Groundnut,Summer     ,Gujarat,90100,Alluvial Soil,low,High,Low,Low,2419.804893,3495.5
Onion,Whole Year ,Gujarat,73300,Alluvial Soil,high,Average,Low,Medium,2634.523975,2758.6
Potato,Whole Year ,Gujarat,44600,Alluvial Soil,high,Low,Low,Medium,2606.292814,3313.7
Ragi,Kharif     ,Gujarat,21700,Alluvial Soil,high,Average,Low,Low,2771.056205,1889.6
Rice,Kharif     ,Gujarat,648300,Alluvial Soil,low,Low,Medium,Low,2383.752606,3279.5
Rice,Summer     ,Gujarat,24600,Alluvial Soil,high,Average,Medium,Low,2713.751333,3251.3
Sugarcane,Whole Year ,Gujarat,213200,Laterile Soil,high,Low,High,Low,2293.20128,2952.1
Wheat,Rabi       ,Gujarat,858800,Laterile Soil,high,High,High,High,2076.859775,3244.5
Cotton(lint),Kharif     ,Haryana,583779,Black Soil,low,Low,Low,High,2110.681487,3358.9
Groundnut,Kharif     ,Haryana,3784,Laterile Soil,low,Average,Medium,Medium,2061.366863,3090.1
Onion,Whole Year ,Haryana,4044,Laterile Soil,high,Average,Low,High,2802.87579,3119.8
Potato,Whole Year ,Haryana,12597,Red/Yellow Soil,low,Average,Low,Medium,2045.627947,3213.7
Rice,Kharif     ,Haryana,1046588,Alluvial Soil,high,Average,High,High,2582.211652,2929.2
Sugarcane,Whole Year ,Haryana,129223,Alluvial Soil,high,Average,Low,High,2420.222742,2849.4
Wheat,Rabi       ,Haryana,2302682,Laterile Soil,low,Low,High,High,2469.205428,2522
Cotton(lint),Kharif     ,Himachal Pradesh,53,Black Soil,high,Low,Medium,Low,2909.082189,3327.8
Groundnut,Kharif     ,Himachal Pradesh,63,Alluvial Soil,low,Average,Medium,High,2368.47179,3790.3
Onion,Rabi       ,Himachal Pradesh,829,Laterile Soil,low,High,High,High,2683.480468,3897.5
Potato,Whole Year ,Himachal Pradesh,14012,Laterile Soil,high,Average,Medium,Medium,2511.269005,3663.7
Ragi,Kharif     ,Himachal Pradesh,3323,Alluvial Soil,low,Low,Low,High,2454.394328,3123.5
Rice,Kharif     ,Himachal Pradesh,79366,Alluvial Soil,high,High,Low,Low,3189.990737,4000.2
Sugarcane,Whole Year ,Himachal Pradesh,2589,Red/Yellow Soil,high,Average,Medium,Medium,2067.597476,3588.6
Wheat,Rabi       ,Himachal Pradesh,358453,Alluvial Soil,low,Low,High,High,2886.739551,3027.7
Cotton(lint),Kharif     ,Madhya Pradesh,596392,Black Soil,high,Average,High,Medium,2696.92197,3921
Groundnut,Kharif     ,Madhya Pradesh,204793,Laterile Soil,low,High,Medium,Medium,2356.142502,3485.1
Onion,Whole Year ,Madhya Pradesh,37656,Alluvial Soil,low,High,Low,Low,2988.795555,3606.8
Potato,Whole Year ,Madhya Pradesh,45967,Alluvial Soil,low,Low,Low,High,1945.566966,3192.7
Ragi,Kharif     ,Madhya Pradesh,421,Laterile Soil,high,Low,Low,High,2343.470003,3071.5
Rice,Kharif     ,Madhya Pradesh,1700446,Alluvial Soil,low,High,Medium,Low,2137.455339,2427.5
Sugarcane,Whole Year ,Madhya Pradesh,51620,Alluvial Soil,low,Average,High,High,2623.625039,2752.3
Wheat,Rabi       ,Madhya Pradesh,3772615,Laterile Soil,high,Low,Medium,Medium,2166.08077,2359.4
Cotton(lint),Kharif     ,Maharashtra,2875000,Black Soil,low,Low,Low,High,2629.919184,3127.4
Groundnut,Kharif     ,Maharashtra,336700,Laterile Soil,low,Average,High,High,2444.069075,3596.6
Groundnut,Summer     ,Maharashtra,104600,Laterile Soil,low,High,High,Medium,2356.193817,2754
Ragi,Kharif     ,Maharashtra,135800,Red/Yellow Soil,high,Low,Medium,Medium,2616.594174,1873
Rice,Kharif     ,Maharashtra,1473700,Alluvial Soil,high,Average,High,Medium,2419.413513,2836.3
Rice,Summer     ,Maharashtra,38800,Alluvial Soil,high,Average,Medium,High,2173.409547,3086.7
Sugarcane,Whole Year ,Maharashtra,500700,Red/Yellow Soil,low,Average,Medium,Medium,3340.411897,3515.4
Wheat,Rabi       ,Maharashtra,932800,Laterile Soil,high,Average,Medium,Low,2353.849845,3063
Cotton(lint),Kharif     ,Mizoram,308,Black Soil,low,Low,Low,High,1834.717276,3103.3
Groundnut,Kharif     ,Mizoram,10,Laterile Soil,low,High,Medium,Medium,2247.370393,2885.6
Potato,Whole Year ,Mizoram,953,Laterile Soil,low,High,Low,Low,2119.816993,2509.2
Rice,Whole Year ,Mizoram,56460,Alluvial Soil,high,Average,Medium,Low,2747.843685,2724.3
Sugarcane,Whole Year ,Mizoram,1383,Red/Yellow Soil,low,Average,Medium,Medium,2596.495798,3124.7
Groundnut,Kharif     ,Nagaland,340,Red/Yellow Soil,high,Low,Low,Low,2619.613841,2698.9
Rice,Kharif     ,Nagaland,155500,Alluvial Soil,low,Low,High,Low,2388.99326,3814.5
Rice,Rabi       ,Nagaland,900,Alluvial Soil,high,Average,High,Medium,2416.194926,2583.6
Sugarcane,Rabi       ,Nagaland,270,Red/Yellow Soil,low,Average,Medium,High,2388.720669,2968.5
Sugarcane,Whole Year ,Nagaland,4150,Red/Yellow Soil,low,Low,Low,Medium,2475.642045,2127.7
Wheat,Rabi       ,Nagaland,1200,Alluvial Soil,high,Average,High,Low,2750.600031,2635
Cotton(lint),Kharif     ,Punjab,557000,Black Soil,high,Low,Medium,Low,2600.822624,3293
Groundnut,Kharif     ,Punjab,3400,Red/Yellow Soil,high,High,High,High,2650.033849,2771.5
Rice,Kharif     ,Punjab,2642000,Alluvial Soil,high,Low,Medium,Medium,2649.867672,3568
Sugarcane,Whole Year ,Punjab,85000,Laterile Soil,high,Average,Low,Low,2765.332731,2954.6
Wheat,Rabi       ,Punjab,3468000,Laterile Soil,high,High,Medium,High,2586.445012,2840.4
Cotton(lint),Kharif     ,Tripura,1143,Black Soil,high,Low,Medium,Low,2607.654422,3480.9
